Nombre Artista,Reproducciones,Oyentes,Biografia,Artistas Similares,Tags,Ontour
Heroes Del Silencio,7040063,245583,"Héroes del Silencio (sometimes referred to as just Héroes) is a Spanish rock band from Zaragoza (Aragón, Spain) formed by Juan Valdivia. In the 1990s they experienced success around Spain and the Americas, and various European countries including Germany, Belgium, Switzerland, France and Portugal becoming a successful Spanish group and a fact in the history of the Rock en Español scene. After ten years and numerous albums, the band broke up in 1997. <a href=""https://www.last.fm/music/+noredirect/Heroes+Del+Silencio"">Read more on Last.fm</a>",,,0
Radiohead,1239547020,7826761,"Radiohead are an English alternative rock band formed in Abingdon, Oxfordshire, in 1985. The band consists of Thom Yorke (vocals, guitar, piano, keyboards); brothers Jonny Greenwood (lead guitar, keyboards, other instruments) and Colin Greenwood (bass); Ed O'Brien (or EOB) (guitar, backing vocals); and Philip Selway (drums, percussion). They have worked with the producer Nigel Godrich and the cover artist Stanley Donwood since 1994. Radiohead's experimental approach is credited with advancing the sound of alternative rock. <a href=""https://www.last.fm/music/Radiohead"">Read more on Last.fm</a>","Thom Yorke, Atoms for Peace, Jeff Buckley, The Strokes, Muse","rock, alternative, alternative rock, indie, electronic",1
Weezer,269482248,5127011,"Weezer are an American alternative rock band. Formed in 1992, they have released 15 full length albums, 1 cover album, six EPs, and a DVD. Their latest album, titled 'Van Weezer', came out on May 7th, 2021, Although, they released 4 EPs in 2022, known as SZNZ. They've sold over ten million records in the United States to date, and 35 million worldwide. They play music influenced by alternative bands and power pop artists among others.

Weezer started in Los Angeles <a href=""https://www.last.fm/music/Weezer"">Read more on Last.fm</a>","Rivers Cuomo, The Rentals, Ozma, Green Day, Fountains of Wayne","alternative rock, rock, alternative, indie, indie rock",1
Marvin Gaye,80652958,3523121,"Marvin Pentz Gay, Jr. (2 April 1939 - 1 April 1984) was an American soul and rnb singer, songwriter, producer, and multi-instrumentalist, known as ""The Prince of Soul"", or ""The Prince of Motown."" Originally a member of the doo-wop group The Moonglows, he pursued a solo career after the group disbanded and released many successful solo hits including ""I Heard It Through the Grapevine"", ""Let's Get It On"" and  ""What's Going On"". His best albums are still held in extremely high regard, and he is often cited as one of the finest singers of his era. <a href=""https://www.last.fm/music/Marvin+Gaye"">Read more on Last.fm</a>","Marvin Gaye & Tammi Terrell, Stevie Wonder, Al Green, The Isley Brothers, Curtis Mayfield","soul, funk, motown, rhythm and blues, rnb",0
Love of Lesbian,11144409,172596,"Love of Lesbian is a Spanish indie pop/indie rock band. 
In the beginning they were influenced by The Cure (they toured with them in Spain), Radiohead and R.E.M. Today they have the personal Love of Lesbian sound and style. There is always a ""sold out"" at all their concerts. Each one is a mix of party-concert-celebration-catharsis.
Santi Balmes, the writer, main composer, and charismatic leader brings to each album excellent lyrics of high composition, from a delicious sense of humour to deep emotional tales. <a href=""https://www.last.fm/music/Love+of+Lesbian"">Read more on Last.fm</a>","Lori Meyers, Vetusta Morla, Izal, Viva Suecia, Sidonie","indie, spanish indie pop, spanish, indie pop, pop",1
Alec Baldwin,21228,3664,"Alexander Rae ""Alec"" Baldwin III (born April 3, 1958) is an American actor who has appeared on film, stage, and television. He is the eldest of the four Baldwin brothers, all well-known actors, and a member of the Baldwin family.

Baldwin first gained recognition through television for his work, for two seasons (6 and 7), on the soap opera Knots Landing, in the role of Joshua Rush. He has since played both leading and supporting roles in films such as Beetlejuice (1988) <a href=""https://www.last.fm/music/Alec+Baldwin"">Read more on Last.fm</a>","Diego Andres Gonzalez Bonetta, C. J. Johnson, Daniel Dee Snider, Russell Brand, Bobby Dall","american, america",0
BTS,2480753738,2141002,"BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan), also known as the Bangtan Boys, is a seven-member South Korean boy band formed in Seoul in 2013. The septet co-writes and produces much of their output. Originally a hip hop group, their musical style has evolved to include a wide range of genres. Their lyrics, often focused on personal and social commentary, touch on the themes of mental health, troubles of school-age youth, loss, the journey towards loving oneself, and individualism. <a href=""https://www.last.fm/music/BTS"">Read more on Last.fm</a>","j-hope, Jin, Agust D, RM, BTS, Halsey","k-pop, bts, Kpop, Korean, pop",0
Billy Joel,114832265,3799165,"Billy Joel (born William Martin Joel on May 9, 1949 in Bronx, New York, USA) is an American pianist, singer-songwriter, and composer. Since releasing his first hit song, ""Piano Man,"" in 1973, Joel has become a multi-million-selling recording artist. Joel recorded many popular hit songs and albums from 1971 until he stopped recording pop/rock music in 1993. He is one of the very few rock (or even pop) artists to have Top 10 hits in the '70s, '80s, and '90s. <a href=""https://www.last.fm/music/Billy+Joel"">Read more on Last.fm</a>","Elton John, Bruce Springsteen, John Mellencamp, Paul Simon, Chicago","classic rock, singer-songwriter, rock, pop, piano",0
Snow Patrol,132749499,4023465,"Snow Patrol are a Northern Irish–Scottish rock band formed in 1994 in Dundee, Scotland. They consist of Gary Lightbody (vocals, guitar), Nathan Connolly (guitar, backing vocals), Paul Wilson (bass guitar, backing vocals), Jonny Quinn (drums), and Johnny McDaid (piano, guitar, backing vocals).

The band were founded at the University of Dundee in 1994 by Lightbody, Mark McClelland, and Michael Morrison of Shrug. After briefly using the name Polarbear <a href=""https://www.last.fm/music/Snow+Patrol"">Read more on Last.fm</a>","Travis, Stereophonics, The Fray, Keane, Feeder","indie, alternative, rock, indie rock, britpop",0
Anderson .Paak,48569455,1100081,"Brandon Paak Anderson (born February 8, 1986), better known by his stage name Anderson .Paak, is an American rapper, singer, songwriter, record producer, and drummer. He released his debut mixtape, O.B.E. Vol. 1, in 2012 and went on to release Venice in 2014. In 2016 he followed up with Malibu, which received a nomination for Best Urban Contemporary Album at the Grammy Awards, followed by Oxnard, in 2018. At the 61st Grammy Awards, Paak won his first Grammy award for Best Rap Performance with the song ""Bubblin"". <a href=""https://www.last.fm/music/Anderson+.Paak"">Read more on Last.fm</a>","NxWorries, Free Nationals, Smino, Isaiah Rashad, EARTHGANG","soul, Hip-Hop, rnb, Neo-Soul, alternative rnb",0
PARTYNEXTDOOR,134291330,1796272,"Jahron Anthony Brathwaite (born July 3, 1993),[1] known professionally as PartyNextDoor (stylized in all caps), is a Canadian R&B singer, and record producer.

PartyNextDoor was the first artist signed to Drake's OVO Sound record label in 2013, in a joint-venture with Warner Records.[2] He then released his first extended play self-titled PartyNextDoor later that year. He subsequently released PartyNextDoor Two and PNDColours in 2014 and PartyNextDoor 3 in 2016. <a href=""https://www.last.fm/music/PARTYNEXTDOOR"">Read more on Last.fm</a>","Bryson Tiller, Drake, Tory Lanez, Sonder, Brent Faiyaz","rnb, r&b, Hip-Hop, soul, canada",1
The Lumineers,85266660,2458864,"The Lumineers is an American folk rock band based in Denver, Colorado formed by Wesley Schultz (lead vocals, guitar) and Jeremiah Fraites (drums, percussion). Schultz and Fraites began writing and performing together in Ramsey, New Jersey in 2005. Cellist and vocalist Neyla Pekarek joined the band in 2010, and was a member until 2018.

The band's debut self-titled album was released on April 3, 2012. The album's first single, ""Ho Hey"" reached #3 on the Billboard Hot 100 and #1 on the Billboard Alternative Songs chart. <a href=""https://www.last.fm/music/The+Lumineers"">Read more on Last.fm</a>","Caamp, The Head and the Heart, Vance Joy, Gregory Alan Isakov, Mumford & Sons","folk, indie, folk rock, american, rock",1
Maroon 5,262010662,6293719,"Maroon 5 are an American pop rock band that originated in Los Angeles, California, United States. The group was formed in 1994 as Kara's Flowers while its members were still in high school and originally consisted of Adam Levine (lead vocals, guitar), Jesse Carmichael (guitar, backing vocals) Mickey Madden (bass guitar) and Ryan Dusick (drums). Kara's Flowers signed to Reprise Records and released an album, ""The Fourth World"", in 1997. After a tepid response to the album <a href=""https://www.last.fm/music/Maroon+5"">Read more on Last.fm</a>","OneRepublic, Adam Levine, The Script, Train, DNCE","pop rock, rock, pop, alternative, alternative rock",1
Ghost,140989132,1496631,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, are a Swedish metal band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>","Volbeat, Ozzy Osbourne, Iron Maiden, Metallica, Avenged Sevenfold","heavy metal, Psychedelic Rock, doom metal, psychedelic, Progressive rock",1
Andrés Suárez,472173,15180," <a href=""https://www.last.fm/music/Andr%C3%A9s+Su%C3%A1rez"">Read more on Last.fm</a>","Marwan, Luis Ramiro, Fran Fernández, Diego Ojeda, Fredi Leis","spanish, cantautor, singer-songwriter, español, cancion de autor",0
Vanesa Martín,872187,40457,"Vanesa Martín is a spanish singer from Málaga. <a href=""https://www.last.fm/music/+noredirect/Vanesa+Mart%C3%ADn"">Read more on Last.fm</a>","Pastora Soler, Manuel Carrasco, Rozalén, Malú, Antonio Orozco","spanish, female vocalists, female vocalist, singer-songwriter, wonderful",0
Miss Caffeina,1901734,63416,"Miss Caffeina are five guys who are really into making music. Their passion for music has been the motor that has kept  the group running from the moment they formed  to the present day. Together they've recorded 4 EPs and 1 full-length album. The group still finds time to make music even though the members live in different cities around Spain. 

Destrucción Creativa (2007) was their first EP. Recorded in Granada, Spain, with help from Eric from Los Planetas, (who was giving drum lessons in the same studio) amongst others. <a href=""https://www.last.fm/music/Miss+Caffeina"">Read more on Last.fm</a>","Lori Meyers, Sidonie, Varry Brava, Viva Suecia, Veintiuno","indie pop, pop, indie, spanish, spanish indie pop",1
David Bisbal,5024660,347536,"
David Bisbal Ferre (born June 5, 1979 in Almería, Spain) is a Latin Grammy-winning Spanish pop singer. He gained his initial fame as a runner up on the interactive reality television show Operación Triunfo produced by Television Española.

He has since released five studio albums, all of which topped the Spanish Albums Chart, in addition to recording a number of live albums. He's toured throughout Europe and Latin America and is now considered to be a crossover international artist. <a href=""https://www.last.fm/music/David+Bisbal"">Read more on Last.fm</a>","Alex Ubago, Andy & Lucas, Luis Fonsi, Pablo Alborán, Chayanne","spanish, latin, pop, latin pop, male vocalists",1
Wale,28629280,2109794,"Olubowale Victor Akintimehin Folarin (born September 21, 1984 in Washington, D.C.), better known by his stage name Wale, is an American rapper and producer. Fusing DC's homegrown go-go genre with a streetwise Northern hip-hop sensibility, he takes samples from all genres and blends them together with lyrical dexterity. In 2005 he released his debut mixtape, Paint a Picture, and has since released four more. His debut album, released by Interscope, Attention Deficit, was released November 10, 2009. <a href=""https://www.last.fm/music/Wale"">Read more on Last.fm</a>","Rick Ross, Meek Mill, Fabolous, DJ Khaled, Big Sean","Hip-Hop, rap, hip hop, DC, Go-Go",0
Patrick Watson,33581397,1572561,"Patrick Watson (born 1979 in Montreal, Quebec, Canada) is a Canadian singer-songwriter, whose blend of cabaret pop and classical music influences with indie rock has been compared to Rufus Wainwright, Jeff Buckley and Andrew Bird.

Singing in the local church choirs as a boy, studying jazz and classical piano performance, composition, and arrangement, and singing and playing keyboards in the ska band Gangster Politics in high school. Watson left the band after graduating and began to explore other types of music <a href=""https://www.last.fm/music/Patrick+Watson"">Read more on Last.fm</a>","Winter Aid, Tom Rosenthal, Tom Odell, RY X, Novo Amor","indie, singer-songwriter, folk, Canadian, alternative",1
Kelly Rowland,17601977,1517807,"Kelendria Trené Rowland is an American singer, songwriter, actress and television personality. She rose to fame in the late 1990s as a member of Destiny's Child, one of the world's best-selling girl groups of all time. During the group's three-year hiatus, Rowland released her debut solo studio album, Simply Deep (2002), which debuted at number one on the UK Albums Chart and sold over 3 million copies worldwide. It included the Billboard Hot 100 number-one single ""Dilemma"" (with Nelly) <a href=""https://www.last.fm/music/Kelly+Rowland"">Read more on Last.fm</a>","Ciara, Destiny's Child, LeToya, Keri Hilson, Fantasia","rnb, pop, female vocalists, soul, Hip-Hop",1
Charli xcx,616156418,3460595,"Charlotte Emma Aitchison, known professionally as Charli xcx, is an English singer and songwriter. Born in Cambridge and raised in Start Hill, Essex, she began posting songs on MySpace in 2008, which led to her discovery by a promoter who invited her to perform at warehouse raves and parties. In 2010, she signed a recording contract with Asylum Records, releasing a series of singles and mixtapes throughout 2011 and 2012.

In 2012, Charli rose to prominence with the Icona Pop collaboration ""I Love It"" <a href=""https://www.last.fm/music/Charli+xcx"">Read more on Last.fm</a>","Sophie, Slayyyter, Caroline Polachek, Addison Rae, Sky Ferreira","pop, synthpop, electronic, female vocalists, Electroclash",0
Faye Webster,114742993,1615154,"Faye Webster is an American folk singer and photographer based in Atlanta, Georgia. Webster was first signed to Awful Records, with whom she released her sophomore self-titled album in 2017. Webster signed to the record label Secretly Canadian in late 2018 and released her second full-length album, Atlanta Millionaires Club, in 2019.

After attending Nashville’s Belmont University for a semester, the Atlanta-native decided to pursue a music career back home. <a href=""https://www.last.fm/music/Faye+Webster"">Read more on Last.fm</a>","Alice Phoebe Lou, Adrianne Lenker, Leith Ross, Phoebe Bridgers, Julia Jacklin","indie folk, singer-songwriter, indie, folk, atlanta",1
George Ezra,30749395,1390172,"George Ezra (full name George Ezra Barnett) is a British singer-songwriter from Hertford, England. Born on June 7, 1993, and the son of an art teacher, Ezra grew up in Hertford, attending Bengeo primary school and then Simon Balle Secondary School, before moving to Bristol, England, in 2011 to pursue a music degree at the influential music school “BIMM.” His younger brother Ethan Barnett is also a musician and goes by the name Ten Tonnes.

Ezra's music is described as deep <a href=""https://www.last.fm/music/George+Ezra"">Read more on Last.fm</a>","Vance Joy, James Bay, Tom Grennan, Olly Murs, Mumford & Sons","indie, folk, singer-songwriter, british, indie folk",0
Julio Iglesias,7103011,413232,"Julio José Iglesias de la Cueva (born September 23, 1943 in Madrid, Spain) is Spain's best selling singer and the best-selling Spanish language singer of all time. Julio Iglesias has sold over 250,000,000 records in different languages and released 77 records. He thus far has performed approximately 5,000 concerts during his career.

Early career to 1978
Julio was the son of Julio Iglesias Sr, a doctor. He was a professional football player with Real Madrid, where he played as goalkeeper. <a href=""https://www.last.fm/music/Julio+Iglesias"">Read more on Last.fm</a>","Camilo Sesto, José Luis Perales, Emmanuel, José Luis Rodríguez, Luis Miguel","latin, spanish, pop, julio iglesias, latin pop",0
Janelle Monáe,49572616,1200074,"Janelle Monáe (born Janelle Monáe Robinson on December 1, 1985 in Kansas City, Kansas) is an American singer, songwriter, dancer, producer, actor and performer.

 She moved to New York to study theatre at the American Musical and Dramatic Academy. Her original plan was to pursue a career on Broadway, but she soon changed her mind and returned to music. After moving to Atlanta, Georgia in 2003,  Monáe founded the Wondaland Arts Society with like-minded young artists <a href=""https://www.last.fm/music/+noredirect/Janelle+Mon%C3%A1e"">Read more on Last.fm</a>","Solange, Victoria Monét, Jessie Ware, Amaarae, Kelela","soul, rnb, female vocalists, alternative, funk",0
Regula Curti,10807,1709," <a href=""https://www.last.fm/music/Regula+Curti"">Read more on Last.fm</a>","Chloë Goodchild, Alexia Chellun, Tina Malia, David & Diane Arkenstone, Thomas Barquee","spoken word, folk, Classical, new age, switzerland",0
Jamie Foxx,10632670,1178506,"Eric Morlon Bishop, Jr. (born December 13, 1967 in Terrell, Texas), better known by his stage name Jamie Foxx, is an Academy Award winning actor, Grammy Award winning multi-platinum selling R&B singer, and critically acclaimed comedian. As a singer he has three multi-platinum releases; 1994’s Peep This, 2005’s Unpredictable and 2008’s Intuition. His fourth studio album, Best Night of My Life, will be released December 21. Foxx received a star on the Hollywood Walk of Fame on September 14, 2007. <a href=""https://www.last.fm/music/Jamie+Foxx"">Read more on Last.fm</a>","Trey Songz, Avant, Joe, 112, Jagged Edge","rnb, soul, Hip-Hop, rap, hip hop",0
Luis Miguel,32615942,768032,"Luis Miguel Gallego Basteri (born 19 April 1970) is a Mexican singer and icon in Latin America, often referred to as El Sol de México (The Sun of Mexico), which is the nickname his mother gave him as a child- ""mi sol"". He is widely regarded as the most successful artist in Latin American history, having successfully performed in a wide range of musical styles, including pop, ballads, boleros, tangos, jazz, big band and mariachi. Luis Miguel is also <a href=""https://www.last.fm/music/Luis+Miguel"">Read more on Last.fm</a>","José José, Cristian Castro, Alejandro Fernández, Alejandro Sanz, Emmanuel","latin, boleros, spanish, Baladas, pop",0
PNAU,9738293,669484,"Pnau are an Australian dance music duo originating from Sydney, Australia. The duo consists of musicians Nick Littlemore (vocals, production) and Peter Mayes (guitar, production). The pair have achieved multiple successes throughout their career with their award-winning debut album Sambanova,their universally acclaimed 2008 release Pnau, their breakthrough side-project Empire of the Sun,and their multiple chart-topping singles. Pnau is also recognized for their heavily publicized apprenticeship under musician Elton John <a href=""https://www.last.fm/music/PNAU"">Read more on Last.fm</a>","The Presets, Sneaky Sound System, Empire of the Sun, Peking Duk, Bag Raiders","electronic, australian, dance, electro, electronica",1
Ivete Sangalo,14821590,453245,"Ivete Maria Dias de Sangalo (born May 27, 1972 in Juazeiro, Bahia) is a Latin Grammy Award-winning Brazilian singer, songwriter, television show host and occasional actress. She is currently one of the most popular and best-selling Brazilian female singers, with six albums released with Banda Eva, and eight studio albums in her solo career, with a total of over 12 million albums sold worldwide. Sangalo is most often recognized by her powerful voice, charisma and live performances. <a href=""https://www.last.fm/music/Ivete+Sangalo"">Read more on Last.fm</a>","Banda Eva, Claudia Leitte, Daniela Mercury, Babado Novo, Timbalada","Axe, female vocalists, brazilian, mpb, pop",1
Diego Boneta,499576,43326,"Diego Boneta, previously known as Diego González (born November 29, 1990 in Mexico City) is a Mexican singer and actor. He is best known for playing Rocco in the Mexican soap opera Rebelde and recurring character Javier Luna in the spin-off series 90210.

He recorded his self-titled debut album with his first single, Responde in 2005 and a Brazilian version for the album, with songs in Portuguese was recorded in 2006. At the moment, the album was released in Mexico, Brazil and Chile. <a href=""https://www.last.fm/music/Diego+Boneta"">Read more on Last.fm</a>","RBD, Anahí, Christian Chávez, Dulce María, Belinda","pop rock, pop, latin pop, spanish, male vocalists",0
Bruno Mars,254276548,4843841,"Peter Gene Hernandez (born October 8, 1985 in Honolulu, Hawaii, USA), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers. <a href=""https://www.last.fm/music/Bruno+Mars"">Read more on Last.fm</a>","Bruno Mars, Anderson .Paak, Silk Sonic, Usher, Ne-Yo, Bruno Mars, Anderson .Paak & Silk Sonic, Charlie Puth","pop, rnb, male vocalists, r&b, slow jams",0
The Strokes,443695411,5460831,"The Strokes is an alternative rock band, known for their distinctive sound and cultural impact, particularly in the early 2000s.

Members
Julian Casablancas (vocals), Nick Valensi (guitar), Albert Hammond Jr. (guitar), Nikolai Fraiture (bass), and Fabrizio Moretti (drums)

Formation
The founding process of The Strokes was a serendipitous convergence of childhood connections and a shared musical vision. Julian Casablancas, Fabrizio Moretti, and Nick Valensi, childhood friends with varying musical experiences, came together in the late '90s. <a href=""https://www.last.fm/music/The+Strokes"">Read more on Last.fm</a>","Julian Casablancas, Albert Hammond, Jr., Arctic Monkeys, The Last Shadow Puppets, Interpol","indie rock, indie, rock, alternative, alternative rock",1
The Goo Goo Dolls,45010104,2351178,"The Goo Goo Dolls are an alternative rock band that formed in 1986 in Buffalo, New York. They are perhaps most famous for the hit ""Iris,"" featured on the soundtrack to the 1998 film City of Angels. Currently, the band consists of three members:

    * Johnny Rzeznik - Vocals, guitar (Founding member)
    * Robby Takac - Vocals, bass (Founding member)
    * Mike Malinin - Drums (Hired in 1995, made official member in 1998)

Founded in Buffalo, New York <a href=""https://www.last.fm/music/+noredirect/The+Goo+Goo+Dolls"">Read more on Last.fm</a>",,,0
OneRepublic,127870135,4120483,"OneRepublic - an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (rhythm guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>","The Script, Imagine Dragons, Maroon 5, American Authors, Train","pop rock, rock, alternative, alternative rock, indie",1
The Temper Trap,40550516,1939543,"The Temper Trap is an indie rock band which formed in 2005 in Melbourne, Australia. Now based in London, the band consists of Dougy Mandagi (vocals, guitar), Jonathon Aherne (bass), Toby Dundas (drums) and Joseph Greer (keyboards, guitar). 

In October 2013, an official statement confirmed that lead guitarist Lorenzo Sillitto parted ways with the band

The Temper Trap's debut album, Conditions, was released in 2009 and contains the singles Sweet Disposition, Fader, Love Lost and Science of Fear. <a href=""https://www.last.fm/music/The+Temper+Trap"">Read more on Last.fm</a>","Atlas Genius, Young the Giant, White Lies, Cold War Kids, The Boxer Rebellion","indie, indie rock, australian, alternative, rock",1
Imagine Dragons,236232826,3854368,"Imagine Dragons are a pop band formed in 2008, based in Las Vegas, Nevada. The band currently consists of lead singer Dan Reynolds, guitarist Wayne Sermon, and bassist Ben McKee. They first gained exposure with the release of their single ""It's Time"", followed by their debut album Night Visions (2012), which resulted in the chart-topping singles ""Radioactive"" and ""Demons"". Rolling Stone named ""Radioactive"", which held the record for most weeks charted on the Billboard Hot 100, the ""biggest rock hit of the year"". <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","OneRepublic, Bastille, American Authors, X Ambassadors, Coldplay","indie, indie rock, alternative, rock, indie pop",1
Ne-Yo,58779428,3171397,"
Shaffer Chimere Smith (born on October 18, 1979 in Camden, Arkansas), better known by his stage name Ne-Yo, is a Grammy Award winning American R&B singer, producer and actor currently signed to Def Jam Records. In 2006 he released his debut album In My Own Words, which featured the hit single So Sick. The song reached #1 on the Billboard Hot 100 and helped his album debut at #1 on the Billboard 200. He has since released 2007's Grammy award winning Because of You and 2008's Year of the Gentleman <a href=""https://www.last.fm/music/Ne-Yo"">Read more on Last.fm</a>","Mario, Usher, Ray J, Chris Brown, Trey Songz","rnb, soul, Hip-Hop, pop, Ne-Yo",1
The Kooks,162336807,3605708,"British alternative rock band that formed in Brighton, England, United Kingdom in 2004. The band currently consists of  Luke Pritchard (vocals, guitar), Hugh Harris (guitar), and Alexis Nunez (drums). They have released five studio albums; their 2006 debut Inside In/Inside Out peaked at number two on the UK Albums Chart, and their 2008 follow up Konk reached number one. The Junk Of The Heart (Happy) Songfacts reports that Pritchard found himself writing <a href=""https://www.last.fm/music/The+Kooks"">Read more on Last.fm</a>","The Wombats, Kaiser Chiefs, Razorlight, Catfish and the Bottlemen, The Pigeon Detectives","indie, indie rock, british, britpop, alternative",1
John Mayer,196427576,3647539,"John Clayton Mayer was born October 16, 1977, in Fairfield, Connecticut, USA, and started playing guitar at 13 after being inspired by a Stevie Ray Vaughan tape his neighbor gave him. In 1998 he moved to Atlanta, Georgia where he refined his skills and gained a following.

In 2003, he won the Grammy Award for Best Male Pop Vocal Performance for the 2002 single ""Your Body Is a Wonderland"" from the album Room for Squares.

In February 2005, he was awarded the Song of the Year Grammy for his song Daughters <a href=""https://www.last.fm/music/John+Mayer"">Read more on Last.fm</a>","John Mayer Trio, Jack Johnson, Jason Mraz, Matt Nathanson, Dave Matthews Band","singer-songwriter, acoustic, rock, pop, Acoustic Rock",1
Pritam,23978931,258326,"Pritam Chakraborty (chakravarty) better known as Pritam is a music director and composer from India who is currently based in Mumbai.

Early life
Pritam was born in Kolkata into a Bengali family. Pritam is the son of Prabodh Chakraborty, who runs a music school for children. Pritam gained his early training in music from his father and learned to play the guitar while still in school.

After completing his schooling at St. James' School and college education at Presidency College, he went to a music school. <a href=""https://www.last.fm/music/Pritam"">Read more on Last.fm</a>","Vishal-Shekhar, Shankar-Ehsaan-Loy, Sachin-Jigar, Salim–Sulaiman, Atif Aslam","bollywood, Hindi, All, Indian, Soundtrack",0
Passenger,35613037,1753902,"There are at least six artists and bands who have performed with the name ""Passenger"". The following order is loosely based on the last.fm statistics.

1. A Brighton (UK) based alternative folk band 
2. A Swedish alternative metal band including members of In 
Flames. Now filed under Passenger (SWE).
3. A San José, Costa Rica hardcore/screamo band.
4. A Mesa, Arizona based acoustic rock band.
5. A rap artist from Texas.
6. An old alias of DJ Tiësto. <a href=""https://www.last.fm/music/Passenger"">Read more on Last.fm</a>","Stu Larsen, James Bay, Vance Joy, Mumford & Sons, Joshua Hyslop","folk, alternative metal, Melodic Death Metal, Nu Metal, metal",1
Katy Perry,405707585,6789028,"Katheryn Elizabeth Hudson, known professionally as Katy Perry (born October 25, 1984, in Santa Barbara, CA), is an American singer, songwriter, and television judge. The story of someone who was born into a Christian environment and who, years later, would become a pop music star. Muse of those who feel different or excluded, Katy Perry got her first guitar (from the church) at the age of thirteen and dreamed of it, as many young people do. The difference is that she did it. <a href=""https://www.last.fm/music/Katy+Perry"">Read more on Last.fm</a>","Bebe Rexha, Dua Lipa, Miley Cyrus, Ava Max, Demi Lovato","pop, female vocalists, pop rock, indie, rock",1
Criolo,15450317,291238,"Kleber Gomes Cavalcante (1975), better known by stage names like Criolo Doido or Criolo, is a Brazilian singer of rap and soul.

Criolo began rapping in São Paulo, in 1989, and until the early 2000 was almost unknown.  In 2006, he released his first studio album, entitled 'Ainda há tempo' and founded the Rinha dos MC's, a place where there are weekly shows, graffiti and photography exhibitions and freestyle. 

In 2008, won the ""Song of the Year"" and ""Person of the Year"" in the fourth edition of the event ""O Rap é compromisso."" <a href=""https://www.last.fm/music/Criolo"">Read more on Last.fm</a>","Black Alien, Emicida, Marcelo D2, Sabotage, Rincon Sapiência","rap, brazilian, Hip-Hop, samba, mpb",1
SZA,532592262,3255530,"Solána Imani Rowe, known professionally as SZA, is an American singer and songwriter. She was born in St. Louis, Missouri but raised in Maplewood, New Jersey. She self-released her debut EP, See.SZA.Run in October 2012. 

In April 2013, SZA released her S EP to good critical reviews— in July of that same year, it was announced she was signed to Top Dawg Entertainment and began working on her Z EP, which would eventually become a full-fledged album. Z was released in April 2014.  <a href=""https://www.last.fm/music/SZA"">Read more on Last.fm</a>","Summer Walker, Doja Cat, Kali Uchis, Ariana Grande, Doechii","rnb, soul, alternative rnb, electronic, Neo-Soul",0
Black Sabbath,196912782,4210578,"Black Sabbath were an English heavy metal band formed in Birmingham, Warwickshire in 1968 by guitarist Tony Iommi, drummer Bill Ward, bassist Geezer Butler and vocalist Ozzy Osbourne. They are often cited as pioneers of heavy metal music. The band helped define the genre with releases such as Black Sabbath (1970), Paranoid (1970) and Master of Reality (1971). The band had multiple line-up changes following Osbourne's departure in 1979 and Iommi is the only constant member throughout their history.  <a href=""https://www.last.fm/music/Black+Sabbath"">Read more on Last.fm</a>","Ozzy Osbourne, Dio, Heaven & Hell, Judas Priest, Deep Purple","heavy metal, hard rock, classic rock, metal, rock",0
Lana Del Rey,1407167624,4934979,"Elizabeth Woolridge Grant, known professionally as Lana Del Rey, is an American singer-songwriter and producer. Her music is noted for its cinematic quality and exploration of tragic romance, glamour, and melancholia, with frequent references to contemporary pop culture and 1950s–1960s Americana.

Raised in upstate New York, Del Rey moved to New York City in 2005 to pursue a music career. After numerous projects, including her self-titled debut studio album <a href=""https://www.last.fm/music/Lana+Del+Rey"">Read more on Last.fm</a>","Emile Haynie, Lorde, Melanie Martinez, Billie Eilish, Marina & the Diamonds","indie, female vocalists, indie pop, pop, alternative",0
